track,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target
Frosthauch,Neun Welten,0.557,0.238,4,-12.889,0,0.0256,0.829,0.975,0.102,0.35,77.967,246133,4,50.25268,11,0
I'm Alive,Kenny Chesney With Dave Matthews,0.564,0.244,3,-11.149,1,0.0329,0.758,0.000607,0.106,0.346,78.076,197627,4,33.73216,11,1
Body Language,Jesse McCartney Featuring T-Pain,0.643,0.748,0,-4.467,1,0.0364,0.0309,0,0.154,0.538,161.435,219213,4,18.00857,10,1
Whatchulookinat,Whitney Houston,0.676,0.878,11,-3.66,0,0.148,0.0587,0,0.509,0.533,105.014,213440,4,40.8453,8,1
The Boys Of Summer,The Ataris,0.251,0.954,6,-2.879,1,0.0691,0.000674,0.000132,0.0975,0.264,191.059,258000,4,24.57698,12,1
Collapse,XE-NONE,0.359,0.926,6,-2.564,0,0.0568,0.000927,0.0254,0.117,0.326,160.038,352500,4,36.41732,20,0
When You're Gone,Avril Lavigne,0.458,0.719,4,-3.921,0,0.0323,0.189,0,0.228,0.168,142.032,240493,4,41.56714,8,1
Rock House,Twaang,0.647,0.967,2,-2.715,1,0.116,0.196,0.504,0.284,0.539,99.987,186427,4,28.24596,7,0
I Can't Take You Anywhere,Scotty Emerick With Toby Keith,0.733,0.751,4,-5.761,1,0.0311,0.262,0,0.0532,0.814,107.105,214200,4,48.06799,9,1
Working On A Dream,Bruce Springsteen,0.555,0.772,0,-7.292,1,0.025,0.000462,0,0.22,0.711,110.481,208947,4,50.40773,10,1
One Song Glory,Adam Pascal,0.648,0.475,6,-7.301,1,0.118,0.201,0,0.127,0.267,143.599,166840,4,34.80108,8,0
Breed To Breathe - Live,Napalm Death,0.303,0.999,2,-4.678,1,0.145,0.000317,0.323,0.947,0.0394,119.984,179120,3,31.96545,8,0
Ring around the Moon,Elephant Revival,0.419,0.362,5,-9.383,1,0.0279,0.656,0.00943,0.0918,0.341,79.963,260547,4,56.15778,10,0
Nothing Else Matters,Carl Henry,0.6,0.455,1,-7.676,0,0.0642,0.0909,0,0.133,0.591,77.091,219253,4,25.16319,11,0
Icky Thump,The White Stripes,0.424,0.632,9,-7.243,1,0.0922,0.021,0.0117,0.0545,0.356,97.694,254533,4,42.52066,12,1
Fire Burning,Sean Kingston,0.839,0.804,1,-2.513,1,0.0329,0.0192,0,0.331,0.888,122.973,239987,4,24.88845,8,1
"Lights, Camera, Action!",Mr. Cheeks,0.792,0.93,1,-6.32,1,0.0693,0.115,0,0.292,0.812,105.505,261027,4,39.73957,13,1
Keep Holding On,Glee Cast,0.311,0.637,7,-6.303,1,0.0347,0.175,0,0.483,0.102,160.745,244333,3,34.82896,9,1
Forgive,Rebecca Lynn Howard,0.612,0.461,7,-5.698,1,0.0317,0.0441,0,0.103,0.232,134.281,238573,4,34.7227,10,1
Rock 'N Roll Is King,The Carburetors,0.359,0.865,7,-8.612,1,0.0442,5.99e-05,0.0164,0.0699,0.783,190.172,250080,4,24.38193,12,0
Because Of You,Reba McEntire Duet With Kelly Clarkson,0.583,0.584,5,-5.362,0,0.0314,0.254,0,0.123,0.136,140.039,219493,4,39.06201,9,1
Pork And Beans,Weezer,0.599,0.624,6,-6.622,1,0.0339,0.0109,8.06e-06,0.158,0.706,119.838,189400,4,34.26945,9,1
"The Beast and Dragon, Adored",Spoon,0.677,0.51,5,-6.087,1,0.0363,0.069,0.000199,0.378,0.423,127.131,258440,4,47.27295,12,0
Lovers Rock,Billy T Band,0.588,0.556,5,-7.657,0,0.0342,0.662,0.0122,0.11,0.625,117.079,257973,4,41.03262,14,0
Moonstruck,Lalu,0.138,0.91,6,-5.869,0,0.146,0.000137,0.00534,0.135,0.076,183.828,261387,4,47.43733,16,0
Tere Dar Pe Aya Hoon (remastered),Talat Mahmood,0.265,0.183,8,-22.961,0,0.0486,0.985,0.851,0.11,0.577,80.74,183999,4,58.47059,8,0
"Corinne, Corinna",Larz-Kristerz,0.563,0.704,7,-5.451,1,0.0274,0.441,0,0.287,0.587,116.072,156827,4,44.69837,8,0
Suffering You,16Volt,0.509,0.904,7,-3.686,1,0.0579,2.61e-05,0.716,0.334,0.611,141.949,187520,4,19.92387,6,0
Runaway,Love And Theft,0.606,0.804,1,-4.386,0,0.0416,0.153,0,0.117,0.653,140.496,229760,4,41.69627,10,1
Water No Get Enemy - Edit,Fela Kuti,0.645,0.924,10,-7.697,0,0.0569,0.107,0.0266,0.0982,0.89,90.852,591707,4,45.99133,20,0
Find You're Gone,Wolfsheim,0.694,0.834,5,-4.469,0,0.041,0.0188,0.0839,0.0807,0.845,120.021,263133,4,31.74872,9,0
Pravus,Meshuggah,0.455,0.995,5,-5.194,1,0.0592,9.3e-06,0.863,0.697,0.166,133.086,310480,4,44.033,11,0
All Falls Down,Adelitas Way,0.497,0.725,2,-5.296,0,0.0265,0.00338,5.39e-06,0.134,0.284,134.987,233360,4,42.79016,9,0
Santa Fe,Adam Pascal,0.697,0.56,9,-6.926,1,0.121,0.594,1.71e-06,0.112,0.448,157.521,207640,3,33.67072,9,0
Fabulous,Jaheim Featuring Tha Rayne,0.657,0.464,4,-7.573,0,0.0614,0.548,0,0.161,0.598,75.982,227067,4,37.16102,8,1
For You,Staind,0.318,0.958,10,-2.683,1,0.442,0.0603,4.68e-06,0.0981,0.3,163.089,206200,4,38.36981,11,1
The Truth,Jason Aldean,0.496,0.577,9,-5.305,1,0.0257,0.234,2.4e-06,0.109,0.381,143.014,238413,4,42.26902,12,1
Save Me,Shinedown,0.524,0.816,11,-3.49,0,0.0308,0.00044,0,0.0777,0.252,116.026,213933,4,33.76876,8,1
Memory Lane,H2O,0.605,0.933,11,-5.051,0,0.06,0.000399,0,0.106,0.402,101.07,207133,4,36.74254,10,0
Rehab,Amy Winehouse,0.434,0.872,0,-2.974,1,0.0702,0.0473,1.83e-06,0.396,0.732,71.515,213760,4,29.94703,12,1
Take My Breath Away,Jessica Simpson,0.568,0.607,7,-6.006,1,0.0271,0.252,0,0.25,0.405,99.692,195347,4,50.09753,8,1
Dirty Love,Division Of Laura Lee,0.365,0.976,6,-3.481,1,0.0538,0.00174,0.561,0.223,0.668,148.093,191588,4,27.79839,13,0
Supermegalithic,Half the World,0.472,0.975,4,-4.191,1,0.171,0.009,4.11e-06,0.318,0.371,119.243,239853,4,25.93249,9,0
Lucky 4 You (Tonight I'm Just Me),SHeDAISY,0.566,0.718,7,-6.371,1,0.0292,0.206,0,0.223,0.503,148.139,240600,4,35.88652,9,1
Creature Feature,Satan's Pilgrims,0.474,0.777,4,-6.946,1,0.0361,0.139,0.833,0.0969,0.448,133.13,280253,4,20.25595,9,0
Ticks,Brad Paisley,0.623,0.79,4,-6.316,1,0.0283,0.0312,3.77e-05,0.106,0.718,94.433,273160,4,24.5084,11,1
"Ma, I Don't Love Her",Clipse Featuring Faith Evans,0.802,0.757,6,-3.152,0,0.271,0.4,0,0.0389,0.922,97.181,257493,4,63.19312,12,1
Be With You,Enrique Iglesias,0.69,0.871,1,-5.484,0,0.0329,0.0359,0.000843,0.0347,0.561,121.984,220160,4,42.31468,9,1
Stupid Girl,Cold,0.43,0.868,0,-4.44,1,0.0639,0.000119,0.000389,0.0836,0.164,138.805,189853,3,28.8868,11,1
Häie - Folk Aesthetic Version,Tenhi,0.15,0.0275,10,-17.912,1,0.04,0.987,0.941,0.0921,0.0324,74.843,254427,3,32.50827,14,0
Walk Away (Remember Me),Paula DeAnda Featuring The DEY,0.672,0.585,0,-5.797,1,0.0582,0.192,0,0.156,0.834,77.998,238160,4,40.82894,11,1
The Trooper - 1998 Remaster,Iron Maiden,0.288,0.857,4,-6.77,0,0.0641,0.0215,0.0631,0.713,0.69,161.918,250680,4,37.07876,13,0
Jay Jay Ma,Govind Das,0.274,0.414,9,-10.147,0,0.0279,0.105,1.86e-06,0.141,0.148,98.225,252827,4,33.18505,10,0
On the River,Nigel Eaton,0.444,0.384,9,-15.618,0,0.0377,0.782,0.961,0.0712,0.258,92.891,257173,3,49.00916,12,0
Weak And Powerless,A Perfect Circle,0.483,0.841,1,-7.494,0,0.0523,0.000172,0.861,0.108,0.129,159.747,195133,3,36.73689,9,1
Special Needs,Placebo,0.301,0.571,8,-10.152,0,0.0332,0.00082,0.8,0.0851,0.0412,178.084,315987,4,43.14694,13,0
Purest Of Pain (A Puro Dolor),Son By Four,0.593,0.939,7,-3.431,1,0.0616,0.45,1.33e-05,0.109,0.743,134.108,247480,4,38.51149,9,1
Station Waggin,Pretty Balanced,0.731,0.634,10,-10.956,1,0.0425,0.647,0.000201,0.0876,0.659,90.52,169880,4,30.06264,8,0
Bendix 1: The Tomorrow People,Raymond Scott,0.579,0.391,6,-18.39,0,0.914,0.938,0,0.246,0.683,101.459,66693,3,6.73588,3,0
True Friend,Hannah Montana,0.657,0.778,4,-5.004,1,0.0329,0.0014,0.000314,0.131,0.591,98.017,189173,4,30.73726,10,1
Photograph,Nickelback,0.513,0.877,8,-3.756,1,0.0292,0.000932,0.000163,0.136,0.389,145.919,258920,4,56.84924,11,1
"Booboo Man (Mama, Look at Bubu)",Lord Melody,0.46,0.461,10,-15.288,0,0.42,0.765,0,0.122,0.801,96.569,262813,4,43.3771,12,0
Rock You Baby,Toby Keith,0.519,0.57,6,-6.772,0,0.029,0.163,0,0.144,0.17,154.093,241760,4,49.83334,10,1
There She Goes,Sixpence None The Richer,0.498,0.789,10,-5.724,1,0.0319,0.000856,5.83e-06,0.104,0.455,120.176,164280,4,29.92569,7,1
Merciless Onslaught,Metal Church,0.279,0.966,8,-14.235,0,0.0568,0.000546,0.783,0.0694,0.141,147.957,176000,4,40.88873,6,0
Blessed,Martina McBride,0.587,0.629,7,-7.439,1,0.0424,0.183,0,0.0686,0.425,114.993,276600,4,39.80868,13,1
First Breath After Coma,Explosions In The Sky,0.328,0.479,4,-13.336,1,0.0313,0.0185,0.682,0.268,0.0569,119.596,574000,4,36.97853,22,0
El vacilon,7th Poet,0.838,0.832,4,-6.507,0,0.149,0.387,0,0.24,0.964,90.027,203573,4,33.73327,9,0
Prom Queen,Lil Wayne Featuring Shanell AKA SNL,0.514,0.876,7,-4.828,1,0.0625,3.52e-05,2.56e-05,0.17,0.365,144.035,217400,4,20.1212,10,1
Last Wave,Jeff Greinke,0.065,0.23,11,-17.236,0,0.0442,0.978,0.925,0.0955,0.0384,62.16,627013,4,26.8173,32,0
Hands Clean,Alanis Morissette,0.513,0.82,7,-5.428,1,0.0299,0.00192,2.83e-06,0.504,0.52,99.952,269400,4,64.50208,9,1
Psycho,Puddle Of Mudd,0.573,0.897,1,-3.549,1,0.0553,0.00473,0,0.278,0.463,126.034,210653,4,25.40819,9,1
Until We Bleed (feat. Lykke Li),Kleerup,0.642,0.756,9,-5.526,0,0.0617,0.305,0.252,0.0825,0.525,120.016,264040,4,47.77681,13,0
Game Over (Flip),Lil' Flip,0.813,0.59,8,-8.998,1,0.378,0.00106,5.07e-05,0.0809,0.602,159.961,232467,4,38.94443,8,1
I Wanna Do It All,Terri Clark,0.626,0.886,4,-4.787,1,0.034,0.0668,0,0.118,0.782,132.905,173333,4,30.81479,10,1
Skull Creek Logger,The Wages of Sin,0.411,0.9,0,-4.079,1,0.0805,0.0319,0.0577,0.131,0.921,162.003,211213,4,57.437,7,0
Bad Attitude,Darkthrone,0.144,0.983,9,-1.258,1,0.0914,0.0479,1.6e-05,0.0361,0.577,188.972,107067,4,27.50289,7,0
Turn My Headphones Up,Sinking Ships,0.324,0.924,7,-3.349,1,0.114,3.01e-05,0.000325,0.231,0.419,86.456,142200,4,78.13033,4,0
Crazy,Gnarls Barkley,0.835,0.741,8,-1.609,1,0.0339,0.0172,0.0577,0.0826,0.612,111.963,182066,4,23.04284,9,1
Wait A Minute,Ray J Featuring Lil' Kim,0.89,0.701,7,-4.954,1,0.205,0.0681,0,0.243,0.728,100.018,227267,4,18.71484,9,1
All I Ever Wanted,Chuck Wicks,0.538,0.773,11,-4.659,1,0.0281,0.0268,0,0.0829,0.611,94.053,207333,4,18.90371,14,1
What Am I Gonna Do,Tyrese,0.69,0.475,10,-4.702,0,0.052,0.275,0,0.0951,0.536,145.597,280000,4,40.01115,17,1
Like A Pimp,David Banner Featuring Lil' Flip,0.851,0.848,7,-5.136,1,0.181,0.00472,0,0.0783,0.897,144.092,254707,4,24.75047,11,1
Livin' Our Love Song,Jason Michael Carroll,0.488,0.855,7,-3.417,1,0.0399,0.287,0,0.132,0.799,148.971,231467,4,22.76559,13,1
Gardermoen,Julia Kent,0.434,0.148,7,-20.672,0,0.0367,0.847,0.873,0.126,0.0939,127.997,250587,4,32.51601,10,0
Work That,Mary J. Blige,0.795,0.582,5,-4.472,1,0.068,0.03,2.76e-05,0.0806,0.627,93.107,210587,4,19.35307,10,1
Holy Water,Big & Rich,0.536,0.765,0,-1.991,1,0.0277,0.0451,6.97e-06,0.344,0.456,94.677,256813,4,31.7809,11,1
Badd,Ying Yang Twins Featuring Mike Jones & Mr. ColliPark,0.585,0.697,1,-6.126,0,0.357,0.0339,0,0.255,0.402,133.177,225187,5,31.4295,10,1
Grounded,Approaching Nirvana,0.279,0.259,0,-11.694,1,0.0317,0.522,0.763,0.302,0.0364,118.228,176968,3,45.08377,7,0
Boyfriend #2,Pleasure P,0.648,0.767,8,-5.052,1,0.0608,0.0219,0,0.19,0.796,141.906,207400,4,40.13089,7,1
Na Mohabbat Na Dosti (Waqt Rukta Nahin Kisi Ke Liye) - Phir Aayee Barsaat / Soundtrack Version,Jagjit Singh,0.537,0.526,10,-11.005,1,0.0278,0.508,0.000571,0.83,0.594,98.155,309200,4,45.66119,10,0
The Black Cat - Alt. Take,London After Midnight,0.628,0.671,5,-6.273,1,0.0271,0.000623,0.762,0.11,0.291,112.016,231333,3,40.20114,12,0
Tattoo,Jordin Sparks,0.566,0.766,2,-5.036,1,0.0399,0.431,0,0.101,0.547,168.005,233467,4,38.62764,9,1
Fat Lip,Sum 41,0.402,0.914,9,-5.215,1,0.142,0.000579,0,0.065,0.626,196.505,178267,4,40.7393,9,1
The Way I Loved You,Taylor Swift,0.433,0.7,5,-3.709,1,0.0336,0.0408,0,0.115,0.398,160.927,244227,4,25.23044,13,1
I Saw God Today,George Strait,0.588,0.587,3,-6.89,1,0.0302,0.599,0,0.162,0.381,147.897,203200,4,55.44742,8,1
Candyman,Christina Aguilera,0.686,0.789,8,-4.713,0,0.23,0.0125,0.0147,0.142,0.72,172.976,194213,4,39.37242,9,1
Dani California,Red Hot Chili Peppers,0.556,0.913,0,-2.36,1,0.0437,0.0193,8.59e-06,0.346,0.73,96.184,282160,4,53.80971,10,1
Fools Of Contradiction,Magrudergrind,0.41,0.952,1,-5.98,1,0.205,7.6e-05,0.0195,0.598,0.198,124.926,78640,4,49.33636,4,0
I Am Dracula - Sighisoara Tasnad Mix,Rexanthony,0.476,0.949,1,-9.017,1,0.103,0.00289,0.86,0.109,0.188,180.858,235807,4,61.60835,11,0
The Lord of the Wasteland,Toxic Holocaust,0.181,0.959,2,-4.565,1,0.0794,5.58e-06,0.851,0.262,0.344,192.771,167693,4,65.24168,7,0
God Bless The USA,Lee Greenwood,0.368,0.45,5,-7.121,1,0.0276,0.156,0,0.107,0.184,139.217,196933,4,39.13522,9,1
Hypnotized,Plies Featuring Akon,0.84,0.571,10,-7.421,1,0.0797,0.16,0,0.406,0.617,116.59,188493,4,37.17445,8,1
Beggin',Madcon,0.731,0.718,4,-7.51,0,0.0672,0.0226,0,0.0518,0.428,129.053,216520,4,56.88443,6,1
"Cantabile in D Major, Op. 17",Niccolò Paganini,0.145,0.149,2,-20.258,1,0.0561,0.961,0.28,0.0728,0.136,69.05,195400,4,46.24942,10,0
All Summer Long,Kid Rock,0.7,0.864,7,-3.629,1,0.0283,0.0212,0,0.0956,0.887,102.997,297587,4,21.92724,13,1
Arigatou,Ikimonogakari,0.527,0.744,0,-4.321,1,0.0294,0.0981,0,0.299,0.341,79.042,359813,4,17.12207,17,0
Thrash Attack,Nocturnal,0.328,0.998,6,-6.276,0,0.117,6.68e-05,0.00381,0.0381,0.033,103.28,225187,4,42.31479,8,0
Boom Boom Pow,The Black Eyed Peas,0.868,0.86,9,-5.581,1,0.0801,0.109,0.00233,0.374,0.407,130.051,241867,4,24.61639,11,1
Hydraphobia,Insect Warfare,0.203,0.998,5,-4.929,0,0.144,3.59e-05,0.0002,0.306,0.0314,146.219,96333,4,40.32373,6,0
The Carpal Tunnel Of Love,Fall Out Boy,0.466,0.941,2,-2.82,0,0.0497,0.00184,7.9e-06,0.34,0.599,140.765,203840,4,20.43291,10,1
Ms. New Booty,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,0.64,0.62,1,-5.931,1,0.416,0.016,0,0.0831,0.609,129.37,252653,5,41.94295,12,1
Ass Up - Groove Coverage Remix Edit,Baracuda,0.694,0.653,11,-7.041,0,0.0376,0.00223,0.000176,0.0613,0.51,129.975,248347,4,43.92458,9,0
Sacrifice Unto Sebek,Nile,0.114,0.959,11,-6.676,0,0.158,1.41e-05,0.883,0.097,0.0688,184.136,182947,5,119.26689,5,0
Red High Heels,Kellie Pickler,0.626,0.842,5,-3.74,1,0.0337,0.13,0,0.0734,0.54,115.72,222853,4,36.87695,12,1
Sorrow,Lisa Gerrard,0.2,0.133,8,-23.052,1,0.0415,0.821,0.852,0.12,0.0433,84.544,86307,4,34.66876,6,0
Litli Sjoarinn,Leoncie,0.555,0.901,7,-5.629,1,0.0784,0.716,7.79e-06,0.0873,0.961,130.898,143267,4,22.76011,7,0
Chok-A-Blok Avenue,Barrio Jazz Gang,0.577,0.828,7,-8.568,1,0.0394,0.143,0.0187,0.0865,0.619,129.971,343427,4,60.30201,17,0
5 Traditional Songs: No. 3. The British Grenadiers,John Rutter,0.542,0.202,6,-22.209,1,0.0348,0.993,0.000115,0.0925,0.44,102.395,113400,4,48.96517,5,0
Kajra Re,Alisha Chinai,0.484,0.898,0,-4.132,1,0.164,0.365,0,0.091,0.68,91.975,482586,4,53.34468,17,0
You Know - Radio Edit,Pimp! Code,0.682,0.901,4,-9.53,1,0.038,0.000655,0.578,0.142,0.463,141.026,166907,4,20.89725,9,0
Let's Ride,The Game,0.878,0.739,5,-5.157,1,0.189,0.169,0,0.119,0.824,93.601,237680,4,44.65841,10,1
A Necessary End,Saltillo,0.444,0.633,7,-10.121,0,0.048,0.108,0.871,0.0854,0.227,160.038,358347,4,48.90262,12,0
Rock The Boat,Aaliyah,0.641,0.72,5,-5.209,1,0.0336,0.0688,0.00286,0.193,0.418,92.988,275027,4,19.58819,13,1
Kernkraft 400,Zombie Nation,0.714,0.528,6,-8.789,1,0.0692,0.00415,0.854,0.0819,0.297,139.983,207267,4,35.14723,9,1
God In Me,"Mary Mary Featuring Kierra ""KiKi"" Sheard",0.673,0.673,5,-5.824,0,0.0948,0.0336,0,0.214,0.428,176.088,192680,4,43.4749,9,1
La Llorrona,DeVotchKa,0.383,0.158,2,-13.462,0,0.0382,0.92,0.901,0.111,0.291,152.456,291736,3,50.66545,13,0
Pensionat Liljevahls,Engmans Kapell,0.506,0.832,4,-4.335,1,0.0367,0.0499,0.000215,0.118,0.769,103.627,186627,1,37.98723,10,0
Devils Get Dropped,Pettidee,0.726,0.719,11,-6.009,0,0.0692,0.00044,8.75e-05,0.185,0.437,176.122,213947,4,48.88769,10,0
Flake,Jack Johnson,0.758,0.654,5,-10.98,1,0.04,0.662,0.0197,0.199,0.962,97.657,281749,4,36.62777,15,1
Ég felé,The Moon & The Nightspirit,0.518,0.85,5,-4.032,1,0.034,0.207,0.000246,0.0798,0.2,129.988,356960,4,38.9603,11,0
You Groove Me Featuring Kemdi - Instrumental Without Rap,Jon Cutler,0.819,0.542,6,-13.753,0,0.126,0.00699,0.679,0.0759,0.28,124.992,343040,4,31.75958,15,0
We Are All Prostitutes (Adam Sky vs. Mark Stewart) - Crookers Rmx,Adam Sky,0.753,0.868,1,-4.479,0,0.0619,0.000962,0.726,0.232,0.366,124.993,388840,4,24.75245,13,0
Page 47,Trevor Rabin,0.23,0.335,2,-11.808,0,0.0373,0.896,0.358,0.327,0.0688,120.018,159427,4,21.31394,10,0
Fall For You,Secondhand Serenade,0.387,0.442,0,-7.086,1,0.0352,0.19,0,0.0788,0.382,169.481,185600,4,50.31098,7,1
Flip Ya Lid,Nightmares On Wax,0.873,0.465,4,-8.95,0,0.0618,0.245,0.307,0.134,0.729,89.982,324173,4,34.2092,11,0
We Run This,Missy Elliott,0.745,0.898,9,-4.544,1,0.234,0.187,0,0.712,0.778,109.614,204461,4,49.19679,8,1
Letters From Home,John Michael Montgomery,0.644,0.626,0,-7.243,1,0.0258,0.367,5.78e-06,0.155,0.388,128.029,267533,4,55.71595,12,1
Youth Of The Nation,P.O.D.,0.563,0.86,8,-7.533,1,0.0621,0.00834,0.0106,0.39,0.517,97.867,256240,4,31.53952,8,1
When You're Mad,Ne-Yo,0.66,0.548,6,-7.127,1,0.215,0.364,0,0.108,0.436,86.947,222000,4,23.03848,7,1
Outcasts,Meagashira,0.465,0.876,10,-5.796,0,0.0964,0.0375,0.0308,0.256,0.147,160.062,331250,4,49.04391,17,0
Passenger Seat,SHeDAISY,0.461,0.832,9,-3.23,1,0.0402,0.023,3.2e-06,0.0262,0.733,156.206,205160,4,19.78677,12,1
Friendly Folk,Bernard Cribbins,0.663,0.278,7,-16.501,1,0.95,0.598,1.31e-06,0.0875,0.38,94.077,1369773,4,37.84797,56,0
Blau! - Doorly Dubstep Remix,Laidback Luke,0.428,0.977,7,-3.238,1,0.0693,0.00861,0.9,0.393,0.525,137.015,358548,4,101.01553,11,0
Cafo,Animals As Leaders,0.399,0.94,4,-6.686,1,0.0915,1.7e-05,0.815,0.348,0.132,154.999,401120,3,117.61376,12,0
Speed Of Sound,Coldplay,0.523,0.898,11,-6.765,0,0.0567,0.00491,0.0345,0.0746,0.355,123.085,287907,4,66.49781,9,1
Luv(sic.) pt3 (feat. Shing02),Nujabes,0.866,0.691,5,-4.371,0,0.0478,0.727,0.503,0.0737,0.87,94.997,336867,4,34.40803,12,0
Hanging By A Moment,Lifehouse,0.541,0.864,1,-4.915,1,0.0357,0.00118,0,0.0896,0.435,124.557,216067,4,23.7793,9,1
When I'm Gone,3 Doors Down,0.496,0.765,7,-5.66,1,0.033,0.00457,0,0.104,0.337,74.072,260507,4,52.7036,8,1
Feel the Thunder,Promo,0.385,0.934,6,-5.403,0,0.101,0.06,0.0518,0.0559,0.383,181.189,244773,4,24.78988,12,0
Tenhi - Folk Aesthetic Version,Tenhi,0.378,0.232,8,-19.513,0,0.0289,0.917,0.914,0.0971,0.151,88.85,412107,4,31.59693,19,0
Miss Independent,Ne-Yo,0.673,0.683,1,-5.693,1,0.115,0.522,0,0.235,0.713,171.86,232000,4,41.30099,12,1
Can't Stop,Red Hot Chili Peppers,0.618,0.938,9,-3.442,1,0.0456,0.0179,0,0.167,0.875,91.455,269000,4,34.77404,13,1
Hogwarts' March,Patrick Doyle,0.782,0.173,0,-18.543,1,0.0471,0.986,0.899,0.0753,0.861,123.683,163520,4,51.30038,8,0
Worried Man Blues,The Carter Family,0.717,0.349,10,-11.723,1,0.0298,0.879,0,0.345,0.759,106.772,165493,4,18.86607,10,0
In My Life,Juvenile Featuring Mannie Fresh,0.759,0.67,1,-4.891,1,0.125,0.0132,6.64e-05,0.113,0.144,177.942,344987,4,26.19221,17,1
Tight Shit,Fallen,0.455,0.985,1,-4.599,0,0.105,0.0042,0.0932,0.344,0.196,103.56,273307,4,44.87745,10,0
Black Metal - Remix,Venom,0.266,0.894,1,-7.19,1,0.0725,0.000517,4.77e-05,0.663,0.367,78.985,237827,4,36.84422,10,0
Good Morning,Chamillionaire,0.701,0.822,5,-4.181,1,0.0738,0.0541,0,0.157,0.392,88.025,212520,4,46.06367,10,1
Angels,XE-NONE,0.387,0.967,0,-0.559,1,0.0985,0.00174,0,0.35,0.227,82.528,247273,4,98.19053,9,0
Narciso,La Maison,0.718,0.54,9,-5.858,0,0.0343,0.00516,0.857,0.0939,0.756,126.793,225560,4,76.28433,9,0
Oye Mi Canto,"N.O.R.E. Featuring Daddy Yankee, Nina Sky, Gem Star & Big Mato",0.677,0.946,6,-2.887,1,0.0553,0.185,3.56e-06,0.274,0.948,96.011,240973,4,42.72675,12,1
Rock Wit U (Awww Baby),Ashanti,0.71,0.795,4,-3.005,0,0.0593,0.409,0,0.16,0.852,94.997,209120,4,19.9631,12,1
The Diary Of Jane,Breaking Benjamin,0.392,0.964,10,-4.441,0,0.0644,7.13e-05,0.0387,0.106,0.269,167.024,200547,4,29.15579,11,1
Desi Girl,Vishal-Shekhar,0.746,0.924,8,-6.057,1,0.0442,0.0169,0.00279,0.097,0.807,136.051,306987,4,18.86724,14,0
Fly Away - Hixxy Mix,Visa,0.451,0.973,6,-5.346,1,0.0467,0.00132,0.253,0.161,0.092,169.944,279529,4,24.01195,16,0
I'm With You,Avril Lavigne,0.457,0.406,9,-7.462,1,0.0291,0.08,0,0.117,0.208,151.95,223067,3,35.4642,11,1
Gayane: Sabre Dance,Aram Khachaturian,0.44,0.52,7,-19.262,1,0.0474,0.901,0.767,0.116,0.558,95.558,133880,4,25.40492,7,0
The Rising Tide,Job For A Cowboy,0.287,0.959,5,-4.654,0,0.16,6.87e-06,0.334,0.204,0.224,111.375,285093,4,72.49558,9,0
Me & U,Cassie,0.803,0.454,8,-4.802,0,0.0294,0.352,0,0.0655,0.739,99.99,192213,4,20.98518,9,1
Get Up (4 Dancecore) - Rob Mayth vs. Pimp! Code RMX Edit,Raveboy,0.633,0.994,9,-5.483,0,0.0626,0.0616,0.813,0.337,0.356,140.995,198319,4,28.58254,8,0
Reinventing Your Exit,Underoath,0.45,0.978,9,-4.198,0,0.0637,0.000124,7.14e-06,0.361,0.268,155.014,262573,4,180.25775,7,0
The Sweet Escape,Gwen Stefani Featuring Akon,0.756,0.77,1,-3.502,1,0.0343,0.191,0,0.178,0.73,119.961,246467,4,29.65152,14,1
Sweetsmoke,Mr. Scruff,0.799,0.729,0,-5.445,1,0.0394,0.00154,0.895,0.252,0.655,126.624,245507,4,31.36433,10,0
7 -Seven-,FLOW,0.411,0.927,2,-3.233,1,0.0656,0.000108,2.26e-06,0.322,0.775,170.027,260200,4,22.95645,14,0
Butterfly,Crazy Town,0.736,0.811,9,-4.17,0,0.081,0.00132,0.000142,0.107,0.609,103.502,216733,4,19.84339,10,1
Shadows,Midnight Juggernauts,0.681,0.811,1,-3.836,1,0.0537,0.00281,0.678,0.157,0.78,126.996,258160,4,37.3423,9,0
(Got My) Rock Pants On,Turing Machine,0.248,0.814,2,-6.542,1,0.035,0.000244,0.788,0.114,0.288,160.084,582333,4,20.07314,17,0
It's America,Rodney Atkins,0.595,0.715,4,-13.863,1,0.0384,0.0374,0,0.374,0.722,134.498,213787,4,44.1193,7,1
Slither,Velvet Revolver,0.478,0.974,7,-3.866,1,0.102,0.000266,0.0984,0.0738,0.268,141.077,248307,4,26.24508,13,1
Sissy's Song,Alan Jackson,0.721,0.253,5,-12.582,1,0.0277,0.912,1.27e-05,0.105,0.43,92.089,182973,4,38.38411,8,1
Sugar (Gimme Some),"Trick Daddy Featuring Ludacris, Lil' Kim & Cee-Lo",0.822,0.673,4,-6.141,0,0.228,0.144,0,0.323,0.85,120.02,245107,4,64.64299,8,1
The Long Goodbye,Brooks & Dunn,0.498,0.619,8,-5.939,1,0.0297,0.263,1.42e-05,0.108,0.569,145.384,229599,4,28.33712,11,1
Pump It Up,Joe Budden,0.483,0.847,6,-5.042,1,0.349,0.0373,0,0.118,0.67,104.919,251373,4,52.65093,11,1
